"Time (s)"	"Illuminance (lx)"
2.836525200E-2	6.470000000E2
7.036525200E-2	6.490000000E2
1.103652520E-1	6.500000000E2
1.503652520E-1	6.470000000E2
1.903652520E-1	6.480000000E2
2.303652520E-1	6.460000000E2
2.703652520E-1	6.490000000E2
3.503652520E-1	6.480000000E2
4.303652520E-1	6.500000000E2
4.703652520E-1	6.490000000E2
5.103652520E-1	6.480000000E2
5.503652520E-1	6.460000000E2
5.903652520E-1	6.490000000E2
6.303652520E-1	6.500000000E2
6.703652520E-1	6.480000000E2
7.103652520E-1	6.470000000E2
7.503652520E-1	6.500000000E2
8.703652520E-1	6.480000000E2
9.503652520E-1	6.490000000E2
9.903652520E-1	6.480000000E2
1.070365252E0	6.470000000E2
1.110365252E0	6.450000000E2
1.150365252E0	6.460000000E2
1.190365252E0	6.490000000E2
1.270365252E0	6.480000000E2
1.310365252E0	6.490000000E2
1.430365252E0	6.480000000E2
1.470365252E0	6.470000000E2
1.510365252E0	6.500000000E2
1.550365252E0	6.470000000E2
1.590365252E0	6.480000000E2
1.630365252E0	6.470000000E2
1.670365252E0	6.480000000E2
1.710365252E0	6.490000000E2
1.750365252E0	6.480000000E2
1.830365252E0	6.490000000E2
1.870365252E0	6.470000000E2
1.910365252E0	6.480000000E2
1.950365252E0	6.490000000E2
1.990365252E0	6.470000000E2
2.030365252E0	6.500000000E2
2.150365252E0	6.500000000E2
2.190365252E0	6.490000000E2
2.230365252E0	6.480000000E2
2.270365252E0	6.470000000E2
2.310365252E0	6.490000000E2
2.350365252E0	6.480000000E2
2.390365252E0	6.460000000E2
2.430365252E0	6.490000000E2
2.470365252E0	6.470000000E2
2.510365252E0	6.480000000E2
2.590365252E0	6.470000000E2
2.630365252E0	6.480000000E2
2.670365252E0	6.500000000E2
2.710365252E0	6.490000000E2
2.747505383E0	6.480000000E2
2.787506383E0	6.490000000E2
2.827505383E0	6.500000000E2
2.867505383E0	6.490000000E2
2.947505383E0	6.460000000E2
2.987505383E0	6.500000000E2
3.027505383E0	6.480000000E2
3.067505383E0	6.490000000E2
3.107505383E0	6.470000000E2
3.187505383E0	6.510000000E2
3.227505383E0	6.490000000E2
3.307505383E0	6.460000000E2
3.347505383E0	6.510000000E2
3.387505383E0	6.460000000E2
3.467505383E0	6.490000000E2
3.547505383E0	6.470000000E2
3.667505383E0	6.490000000E2
3.707505383E0	6.460000000E2
3.747505383E0	6.480000000E2
3.867505383E0	6.490000000E2
