"Time (s)"	"Illuminance (lx)"
4.160962600E-2	6.460000000E2
8.360962600E-2	6.480000000E2
1.236096260E-1	6.490000000E2
2.036096260E-1	6.450000000E2
2.436096260E-1	6.490000000E2
2.836096260E-1	6.470000000E2
3.236096260E-1	6.510000000E2
3.636096260E-1	6.500000000E2
4.036096260E-1	6.460000000E2
4.436096260E-1	6.490000000E2
5.236096260E-1	6.480000000E2
5.636096260E-1	6.490000000E2
6.036096260E-1	6.500000000E2
6.836096260E-1	6.480000000E2
7.236096260E-1	6.510000000E2
7.636096260E-1	6.480000000E2
8.436096260E-1	6.490000000E2
8.836096260E-1	6.500000000E2
9.236096260E-1	6.470000000E2
9.636096260E-1	6.490000000E2
1.003609626E0	6.510000000E2
1.043609626E0	6.480000000E2
1.123609626E0	6.510000000E2
1.163609626E0	6.490000000E2
1.203609626E0	6.500000000E2
1.243609626E0	6.480000000E2
1.323609626E0	6.490000000E2
1.363609626E0	6.480000000E2
1.403609626E0	6.490000000E2
1.443609626E0	6.470000000E2
1.483610626E0	6.500000000E2
1.563609626E0	6.480000000E2
1.683609626E0	6.470000000E2
1.803609626E0	6.470000000E2
1.843609626E0	6.460000000E2
1.883609626E0	6.490000000E2
1.923609626E0	6.470000000E2
1.963609626E0	6.450000000E2
2.003609626E0	6.480000000E2
2.043609626E0	6.490000000E2
2.083609626E0	6.480000000E2
2.123609626E0	6.490000000E2
2.163609626E0	6.460000000E2
2.203609626E0	6.480000000E2
2.243609626E0	6.450000000E2
2.283609626E0	6.480000000E2
2.363609626E0	6.460000000E2
2.443609626E0	6.480000000E2
2.483610626E0	6.460000000E2
2.523609626E0	6.480000000E2
2.563609626E0	6.470000000E2
2.603609626E0	6.460000000E2
2.643609626E0	6.500000000E2
2.682163846E0	6.460000000E2
2.802163846E0	6.490000000E2
2.842163846E0	6.460000000E2
2.922163846E0	6.480000000E2
2.962163846E0	6.460000000E2
3.002163846E0	6.480000000E2
3.082163846E0	6.450000000E2
3.122163846E0	6.470000000E2
