"Time (s)"	"Illuminance (lx)"
4.114261000E-2	5.260000000E2
8.314261000E-2	5.240000000E2
1.231426100E-1	5.230000000E2
1.631426100E-1	5.210000000E2
2.031426100E-1	5.250000000E2
2.431426100E-1	5.240000000E2
2.831426100E-1	5.230000000E2
3.231426100E-1	5.240000000E2
3.631426100E-1	5.220000000E2
4.031426100E-1	5.240000000E2
4.831426100E-1	5.260000000E2
5.231426100E-1	5.230000000E2
5.631436100E-1	5.240000000E2
6.031426100E-1	5.260000000E2
6.431426100E-1	5.230000000E2
6.831426100E-1	5.220000000E2
7.231426100E-1	5.210000000E2
7.631426100E-1	5.260000000E2
8.031426100E-1	5.230000000E2
8.831426100E-1	5.250000000E2
9.231426100E-1	5.260000000E2
9.631426100E-1	5.250000000E2
1.003142610E0	5.240000000E2
1.043142610E0	5.260000000E2
1.083142610E0	5.250000000E2
1.123142610E0	5.190000000E2
1.163142610E0	5.260000000E2
1.203142610E0	5.240000000E2
1.283142610E0	5.250000000E2
1.323142610E0	5.260000000E2
1.403142610E0	5.230000000E2
1.443142610E0	5.210000000E2
1.483142610E0	5.240000000E2
1.523142610E0	5.230000000E2
1.563143610E0	5.240000000E2
1.603142610E0	5.250000000E2
1.643142610E0	5.260000000E2
1.683142610E0	5.240000000E2
1.763142610E0	5.250000000E2
1.803142610E0	5.240000000E2
1.843142610E0	5.250000000E2
1.883142610E0	5.220000000E2
1.923142610E0	5.230000000E2
1.963142610E0	5.240000000E2
2.043142610E0	5.260000000E2
2.083142610E0	5.220000000E2
2.123142610E0	5.210000000E2
2.163142610E0	5.240000000E2
2.203142610E0	5.230000000E2
2.243142610E0	5.250000000E2
2.283142610E0	5.260000000E2
2.323142610E0	5.240000000E2
2.363142610E0	5.230000000E2
2.443142610E0	5.240000000E2
2.483142610E0	5.230000000E2
2.523142610E0	5.200000000E2
2.563143610E0	5.250000000E2
2.603142610E0	5.240000000E2
2.641617845E0	5.230000000E2
2.721617845E0	5.260000000E2
2.761617845E0	5.240000000E2
2.801617845E0	5.230000000E2
2.841617845E0	5.200000000E2
2.881617845E0	5.240000000E2
2.921617845E0	5.230000000E2
2.961617845E0	5.210000000E2
3.001617845E0	5.220000000E2
3.041617845E0	5.230000000E2
3.081617845E0	5.240000000E2
3.121617845E0	5.230000000E2
3.161617845E0	5.240000000E2
3.201617845E0	5.230000000E2
3.241617845E0	5.250000000E2
3.281617845E0	5.220000000E2
3.321617845E0	5.240000000E2
3.361617845E0	5.270000000E2
3.401617845E0	5.220000000E2
3.441617845E0	5.230000000E2
