"Time (s)"	"Illuminance (lx)"
3.393841100E-2	1.130000000E2
7.593841100E-2	1.150000000E2
1.159384110E-1	1.140000000E2
1.559384110E-1	1.120000000E2
2.759384110E-1	1.130000000E2
3.559384110E-1	1.120000000E2
3.959384110E-1	1.150000000E2
4.759384110E-1	1.120000000E2
5.559384110E-1	1.160000000E2
5.959384110E-1	1.130000000E2
6.359384110E-1	1.120000000E2
7.159384110E-1	1.150000000E2
7.559384110E-1	1.140000000E2
7.959384110E-1	1.130000000E2
8.359384110E-1	1.140000000E2
8.759384110E-1	1.150000000E2
9.559384110E-1	1.120000000E2
9.959384110E-1	1.130000000E2
1.035938411E0	1.140000000E2
1.075938411E0	1.110000000E2
1.115938411E0	1.120000000E2
1.195938411E0	1.140000000E2
1.275938411E0	1.120000000E2
1.355938411E0	1.140000000E2
1.395938411E0	1.130000000E2
1.435939411E0	1.120000000E2
1.475938411E0	1.150000000E2
1.595938411E0	1.150000000E2
1.635938411E0	1.130000000E2
1.755938411E0	1.120000000E2
1.835938411E0	1.160000000E2
1.875938411E0	1.120000000E2
1.915938411E0	1.130000000E2
1.955938411E0	1.120000000E2
2.035938411E0	1.140000000E2
2.075938411E0	1.120000000E2
2.115938411E0	1.140000000E2
2.155938411E0	1.130000000E2
2.195938411E0	1.140000000E2
2.235938411E0	1.130000000E2
2.315938411E0	1.140000000E2
2.355938411E0	1.130000000E2
2.475938411E0	1.150000000E2
2.515938411E0	1.120000000E2
2.555938411E0	1.140000000E2
2.595938411E0	1.120000000E2
2.635938411E0	1.150000000E2
2.715938411E0	1.110000000E2
2.755938411E0	1.130000000E2
2.835938411E0	1.140000000E2
2.875938411E0	1.130000000E2
2.915938411E0	1.110000000E2
2.955938411E0	1.140000000E2
2.995938411E0	1.150000000E2
3.034177961E0	1.140000000E2
3.074177961E0	1.110000000E2
3.114177961E0	1.130000000E2
3.154177961E0	1.140000000E2
3.194177961E0	1.150000000E2
3.234177961E0	1.130000000E2
3.314177961E0	1.120000000E2
3.354177961E0	1.140000000E2
3.394177961E0	1.100000000E2
3.434178961E0	1.140000000E2
3.474177961E0	1.150000000E2
3.514177961E0	1.140000000E2
3.634177961E0	1.130000000E2
3.674177961E0	1.150000000E2
3.754177961E0	1.130000000E2
3.794177961E0	1.140000000E2
3.834177961E0	1.130000000E2
3.874177961E0	1.120000000E2
3.914177961E0	1.110000000E2
3.954177961E0	1.120000000E2
4.034177961E0	1.140000000E2
4.074177961E0	1.120000000E2
4.154177961E0	1.130000000E2
4.234177961E0	1.100000000E2
4.274177961E0	1.110000000E2
4.314177961E0	1.130000000E2
4.434178961E0	1.120000000E2
4.474177961E0	1.140000000E2
4.514177961E0	1.150000000E2
4.554177961E0	1.090000000E2
4.594177961E0	1.120000000E2
4.674177961E0	1.150000000E2
4.754177961E0	1.100000000E2
4.794177961E0	1.130000000E2
4.834177961E0	1.120000000E2
4.874177961E0	1.160000000E2
4.914177961E0	1.120000000E2
4.994177961E0	1.130000000E2
5.034177961E0	1.110000000E2
5.074177961E0	1.120000000E2
5.114177961E0	1.130000000E2
5.154177961E0	1.120000000E2
5.194177961E0	1.160000000E2
5.234177961E0	1.140000000E2
5.274177961E0	1.130000000E2
5.354177961E0	1.140000000E2
5.394177961E0	1.130000000E2
5.474177961E0	1.120000000E2
5.514177961E0	1.150000000E2
5.594177961E0	1.090000000E2
5.634177961E0	1.110000000E2
5.674177961E0	1.150000000E2
5.714177961E0	1.100000000E2
5.754177961E0	1.120000000E2
5.794177961E0	1.140000000E2
5.834177961E0	1.130000000E2
5.874177961E0	1.150000000E2
5.914177961E0	1.130000000E2
5.954177961E0	1.120000000E2
5.994177961E0	1.140000000E2
6.034177961E0	1.110000000E2
6.074177961E0	1.130000000E2
6.114177961E0	1.140000000E2
6.154177961E0	1.120000000E2
6.194177961E0	1.130000000E2
6.274177961E0	1.140000000E2
6.354177961E0	1.130000000E2
6.394177961E0	1.150000000E2
6.434178961E0	1.130000000E2
6.474177961E0	1.120000000E2
6.514177961E0	1.110000000E2
6.554177961E0	1.150000000E2
6.634177961E0	1.110000000E2
6.674177961E0	1.130000000E2
6.794177961E0	1.150000000E2
6.834177961E0	1.130000000E2
6.874177961E0	1.120000000E2
6.914177961E0	1.130000000E2
6.954177961E0	1.120000000E2
6.994177961E0	1.140000000E2
7.034177961E0	1.130000000E2
7.074177961E0	1.120000000E2
7.194177961E0	1.120000000E2
7.234177961E0	1.100000000E2
7.274177961E0	1.110000000E2
7.314177961E0	1.130000000E2
7.354177961E0	1.150000000E2
7.434178961E0	1.120000000E2
7.474177961E0	1.150000000E2
7.514177961E0	1.140000000E2
7.554177961E0	1.120000000E2
7.594177961E0	1.090000000E2
7.634177961E0	1.120000000E2
7.674177961E0	1.140000000E2
7.714177961E0	1.130000000E2
7.794177961E0	1.110000000E2
7.834177961E0	1.140000000E2
7.874177961E0	1.150000000E2
7.914177961E0	1.130000000E2
7.954177961E0	1.150000000E2
7.994177961E0	1.140000000E2
8.034177961E0	1.160000000E2
8.074177961E0	1.150000000E2
8.114177961E0	1.100000000E2
8.154177961E0	1.120000000E2
8.194177961E0	1.140000000E2
8.234177961E0	1.130000000E2
8.314177961E0	1.120000000E2
8.354177961E0	1.150000000E2
8.394177961E0	1.130000000E2
8.434178961E0	1.140000000E2
8.474177961E0	1.120000000E2
8.514177961E0	1.130000000E2
8.594177961E0	1.120000000E2
8.674177961E0	1.130000000E2
8.754177961E0	1.110000000E2
8.794177961E0	1.100000000E2
8.834177961E0	1.130000000E2
8.874177961E0	1.120000000E2
8.914177961E0	1.150000000E2
8.954177961E0	1.110000000E2
8.994177961E0	1.130000000E2
9.034177961E0	1.140000000E2
9.114177961E0	1.120000000E2
9.154177961E0	1.100000000E2
9.194177961E0	1.150000000E2
9.274177961E0	1.120000000E2
9.314177961E0	1.110000000E2
9.354177961E0	1.150000000E2
9.394177961E0	1.120000000E2
9.434178961E0	1.150000000E2
9.474177961E0	1.100000000E2
9.514177961E0	1.140000000E2
9.554177961E0	1.150000000E2
9.594177961E0	1.140000000E2
9.634177961E0	1.150000000E2
9.674177961E0	1.110000000E2
9.714177961E0	1.130000000E2
9.834177961E0	1.110000000E2
9.914177961E0	1.140000000E2
9.954177961E0	1.150000000E2
9.994177961E0	1.120000000E2
1.003417796E1	1.130000000E2
1.007417796E1	1.150000000E2
1.015417796E1	1.120000000E2
1.019417796E1	1.130000000E2
1.023417796E1	1.160000000E2
1.027417796E1	1.140000000E2
1.031417796E1	1.130000000E2
1.035417796E1	1.110000000E2
1.039417796E1	1.150000000E2
1.043417896E1	1.140000000E2
1.047417796E1	1.130000000E2
1.051417796E1	1.120000000E2
1.055417796E1	1.150000000E2
1.063417796E1	1.120000000E2
1.067417796E1	1.110000000E2
1.071417796E1	1.120000000E2
1.075417796E1	1.150000000E2
1.079417796E1	1.110000000E2
1.083417796E1	1.130000000E2
1.087417796E1	1.160000000E2
