"Time (s)"	"Illuminance (lx)"
4.037478100E-2	2.700000000E1
8.237478100E-2	2.900000000E1
1.623747810E-1	2.700000000E1
2.023747810E-1	3.000000000E1
2.423747810E-1	3.100000000E1
2.823747810E-1	2.900000000E1
3.223747810E-1	3.000000000E1
3.623747810E-1	2.900000000E1
4.023747810E-1	3.000000000E1
4.423747810E-1	2.900000000E1
4.823747810E-1	2.400000000E1
5.223747810E-1	2.900000000E1
5.623747810E-1	2.800000000E1
6.023747810E-1	2.700000000E1
6.423747810E-1	2.900000000E1
7.623747810E-1	2.900000000E1
8.023747810E-1	2.700000000E1
8.423747810E-1	2.900000000E1
8.823747810E-1	2.800000000E1
9.623747810E-1	3.000000000E1
1.002374781E0	2.600000000E1
1.042374781E0	2.800000000E1
1.082374781E0	2.900000000E1
1.122375781E0	3.100000000E1
1.162374781E0	3.000000000E1
1.202374781E0	2.900000000E1
1.282374781E0	3.000000000E1
1.322374781E0	2.900000000E1
1.362374781E0	3.000000000E1
1.402374781E0	2.800000000E1
1.442374781E0	2.900000000E1
1.482374781E0	3.000000000E1
1.522374781E0	2.600000000E1
1.562374781E0	2.900000000E1
1.602374781E0	3.000000000E1
1.642374781E0	2.900000000E1
1.722374781E0	3.000000000E1
1.802374781E0	2.800000000E1
1.882374781E0	2.700000000E1
1.922374781E0	2.900000000E1
1.962374781E0	2.800000000E1
2.042374781E0	2.900000000E1
2.082374781E0	3.200000000E1
2.122375781E0	3.100000000E1
2.162374781E0	3.000000000E1
2.242374781E0	2.800000000E1
2.322374781E0	2.600000000E1
2.362374781E0	2.900000000E1
2.402374781E0	2.800000000E1
2.522374781E0	2.700000000E1
2.562374781E0	2.900000000E1
2.642374781E0	2.700000000E1
2.762374781E0	2.900000000E1
2.802374781E0	2.800000000E1
2.882374781E0	2.700000000E1
2.922374781E0	2.800000000E1
3.042374781E0	2.900000000E1
3.080691077E0	2.700000000E1
3.120692077E0	2.900000000E1
3.160691077E0	2.700000000E1
3.200691077E0	2.800000000E1
3.280691077E0	2.700000000E1
3.320691077E0	3.100000000E1
3.360691077E0	2.900000000E1
3.400691077E0	2.700000000E1
3.440691077E0	3.000000000E1
3.480691077E0	2.900000000E1
3.520691077E0	3.100000000E1
3.560691077E0	3.000000000E1
3.600691077E0	2.900000000E1
3.680691077E0	2.600000000E1
3.720691077E0	2.700000000E1
3.760691077E0	3.000000000E1
3.800691077E0	2.900000000E1
3.880691077E0	2.800000000E1
3.920691077E0	2.900000000E1
4.040691077E0	2.800000000E1
4.080691077E0	2.600000000E1
4.120692077E0	2.900000000E1
4.160691077E0	2.700000000E1
4.200691077E0	2.800000000E1
4.240691077E0	3.100000000E1
4.320691077E0	2.700000000E1
4.360691077E0	2.900000000E1
4.480691077E0	2.600000000E1
4.520691077E0	2.800000000E1
4.560691077E0	2.700000000E1
4.680691077E0	2.900000000E1
4.760691077E0	2.800000000E1
4.800691077E0	2.900000000E1
4.840691077E0	3.100000000E1
4.880691077E0	2.900000000E1
4.920691077E0	2.700000000E1
4.960691077E0	2.900000000E1
5.080691077E0	2.900000000E1
5.120692077E0	2.800000000E1
5.160691077E0	3.000000000E1
5.200691077E0	3.200000000E1
5.240691077E0	3.100000000E1
5.280691077E0	2.300000000E1
5.320692077E0	2.600000000E1
5.360691077E0	2.800000000E1
5.400691077E0	2.900000000E1
5.440691077E0	3.000000000E1
5.480691077E0	3.100000000E1
5.520691077E0	3.200000000E1
5.560691077E0	2.700000000E1
5.640691077E0	3.100000000E1
5.680691077E0	3.000000000E1
5.720691077E0	2.900000000E1
5.800691077E0	2.800000000E1
5.880691077E0	2.700000000E1
5.920691077E0	2.900000000E1
6.000691077E0	2.800000000E1
6.040691077E0	2.700000000E1
6.120692077E0	2.900000000E1
6.200691077E0	2.800000000E1
