"Time (s)"	"Illuminance (lx)"
2.571706200E-2	1.830000000E2
4.771706200E-2	1.840000000E2
1.677170620E-1	1.830000000E2
2.077170620E-1	1.840000000E2
2.877170620E-1	1.830000000E2
3.277170620E-1	1.840000000E2
3.677170620E-1	1.860000000E2
4.077170620E-1	1.850000000E2
4.477170620E-1	1.840000000E2
4.877170620E-1	1.800000000E2
5.277170620E-1	1.850000000E2
5.677170620E-1	1.820000000E2
6.077170620E-1	1.840000000E2
6.477170620E-1	1.820000000E2
6.877170620E-1	1.850000000E2
7.677170620E-1	1.860000000E2
8.077170620E-1	1.830000000E2
8.477170620E-1	1.840000000E2
8.877170620E-1	1.870000000E2
9.277170620E-1	1.840000000E2
9.677170620E-1	1.820000000E2
1.047717062E0	1.860000000E2
1.087717062E0	1.830000000E2
1.127717062E0	1.800000000E2
1.167717062E0	1.840000000E2
1.207717062E0	1.860000000E2
1.247718062E0	1.840000000E2
1.287717062E0	1.820000000E2
1.327717062E0	1.830000000E2
1.367717062E0	1.850000000E2
1.407717062E0	1.860000000E2
1.487717062E0	1.840000000E2
1.567717062E0	1.870000000E2
1.607717062E0	1.830000000E2
1.647717062E0	1.840000000E2
1.687717062E0	1.820000000E2
1.727717062E0	1.830000000E2
1.767717062E0	1.850000000E2
1.807717062E0	1.820000000E2
1.847717062E0	1.840000000E2
1.887717062E0	1.850000000E2
1.927717062E0	1.860000000E2
1.967717062E0	1.840000000E2
2.007717062E0	1.860000000E2
2.047717062E0	1.820000000E2
2.087717062E0	1.840000000E2
2.127717062E0	1.830000000E2
2.167717062E0	1.870000000E2
2.207717062E0	1.820000000E2
2.287717062E0	1.830000000E2
2.367717062E0	1.840000000E2
2.407717062E0	1.810000000E2
2.447717062E0	1.820000000E2
2.487717062E0	1.850000000E2
2.527717062E0	1.840000000E2
2.607717062E0	1.850000000E2
2.647717062E0	1.840000000E2
2.685870807E0	1.860000000E2
2.725870807E0	1.830000000E2
2.805870807E0	1.840000000E2
2.885870807E0	1.860000000E2
2.925870807E0	1.820000000E2
2.965870807E0	1.840000000E2
3.005870807E0	1.860000000E2
3.045870807E0	1.840000000E2
3.125870807E0	1.820000000E2
3.205870807E0	1.850000000E2
3.245871807E0	1.830000000E2
3.325870807E0	1.840000000E2
3.365870807E0	1.830000000E2
3.405870807E0	1.850000000E2
3.445870807E0	1.830000000E2
3.485870807E0	1.790000000E2
3.525870807E0	1.860000000E2
3.565870807E0	1.820000000E2
3.605870807E0	1.830000000E2
3.725870807E0	1.840000000E2
3.765870807E0	1.850000000E2
3.845870807E0	1.830000000E2
3.885870807E0	1.840000000E2
