"Time (s)"	"Illuminance (lx)"
4.375929400E-2	2.890000000E2
6.575929400E-2	2.840000000E2
1.457592940E-1	2.890000000E2
1.857592940E-1	2.900000000E2
2.257592940E-1	2.870000000E2
2.657592940E-1	2.860000000E2
3.057602940E-1	2.900000000E2
4.257592940E-1	2.880000000E2
4.657592940E-1	2.850000000E2
5.057592940E-1	2.870000000E2
5.457592940E-1	2.900000000E2
6.257592940E-1	2.890000000E2
6.657592940E-1	2.870000000E2
7.057592940E-1	2.900000000E2
7.457592940E-1	2.880000000E2
7.857592940E-1	2.860000000E2
8.257592940E-1	2.850000000E2
8.657592940E-1	2.860000000E2
9.057592940E-1	2.890000000E2
9.857592940E-1	2.880000000E2
1.025759294E0	2.870000000E2
1.065759294E0	2.850000000E2
1.105759294E0	2.900000000E2
1.145759294E0	2.880000000E2
1.225759294E0	2.850000000E2
1.265759294E0	2.880000000E2
1.305760294E0	2.860000000E2
1.345759294E0	2.890000000E2
1.385759294E0	2.860000000E2
1.425759294E0	2.880000000E2
1.465759294E0	2.860000000E2
1.505759294E0	2.870000000E2
1.545759294E0	2.880000000E2
1.585759294E0	2.900000000E2
1.625759294E0	2.870000000E2
1.705759294E0	2.890000000E2
1.745759294E0	2.880000000E2
1.785759294E0	2.890000000E2
1.825759294E0	2.850000000E2
1.865759294E0	2.870000000E2
1.945759294E0	2.900000000E2
2.025759294E0	2.880000000E2
2.065759294E0	2.840000000E2
2.105759294E0	2.900000000E2
2.145759294E0	2.880000000E2
2.225759294E0	2.820000000E2
2.305760294E0	2.900000000E2
2.345759294E0	2.890000000E2
2.385759294E0	2.880000000E2
2.465759294E0	2.860000000E2
2.505759294E0	2.900000000E2
2.585759294E0	2.870000000E2
2.625759294E0	2.840000000E2
2.664749346E0	2.850000000E2
2.704749346E0	2.890000000E2
2.744749346E0	2.880000000E2
2.784749346E0	2.900000000E2
2.824749346E0	2.830000000E2
2.864749346E0	2.860000000E2
2.904749346E0	2.890000000E2
2.944749346E0	2.850000000E2
2.984749346E0	2.860000000E2
3.024749346E0	2.900000000E2
3.064749346E0	2.890000000E2
3.104749346E0	2.900000000E2
3.184749346E0	2.870000000E2
3.224749346E0	2.860000000E2
3.264749346E0	2.880000000E2
3.304750346E0	2.900000000E2
3.344749346E0	2.870000000E2
3.384749346E0	2.890000000E2
3.424749346E0	2.900000000E2
3.464749346E0	2.890000000E2
3.504749346E0	2.900000000E2
3.584749346E0	2.870000000E2
3.624749346E0	2.890000000E2
3.664749346E0	2.850000000E2
3.704749346E0	2.890000000E2
3.744749346E0	2.870000000E2
3.824749346E0	2.890000000E2
3.944749346E0	2.850000000E2
3.984749346E0	2.860000000E2
4.024749346E0	2.890000000E2
4.064749346E0	2.900000000E2
4.104749346E0	2.870000000E2
4.184749346E0	2.840000000E2
4.224749346E0	2.890000000E2
4.264749346E0	2.900000000E2
4.304750346E0	2.880000000E2
4.384749346E0	2.900000000E2
4.424749346E0	2.890000000E2
4.464749346E0	2.880000000E2
4.504749346E0	2.890000000E2
4.544749346E0	2.870000000E2
4.584749346E0	2.850000000E2
4.624749346E0	2.890000000E2
4.664749346E0	2.870000000E2
4.704749346E0	2.880000000E2
4.744749346E0	2.900000000E2
4.784749346E0	2.890000000E2
4.824749346E0	2.900000000E2
4.864749346E0	2.820000000E2
4.904749346E0	2.890000000E2
4.984749346E0	2.900000000E2
5.024749346E0	2.870000000E2
5.064749346E0	2.840000000E2
5.104749346E0	2.880000000E2
5.144749346E0	2.870000000E2
5.184749346E0	2.900000000E2
5.224749346E0	2.850000000E2
5.304750346E0	2.890000000E2
5.344749346E0	2.860000000E2
5.384749346E0	2.870000000E2
5.424749346E0	2.880000000E2
5.464749346E0	2.900000000E2
5.504749346E0	2.880000000E2
5.584749346E0	2.850000000E2
5.624749346E0	2.880000000E2
5.704749346E0	2.900000000E2
5.744749346E0	2.870000000E2
5.784749346E0	2.850000000E2
5.824749346E0	2.860000000E2
5.864749346E0	2.880000000E2
5.904749346E0	2.900000000E2
5.944749346E0	2.860000000E2
5.984749346E0	2.880000000E2
6.024749346E0	2.870000000E2
6.064749346E0	2.900000000E2
6.104749346E0	2.870000000E2
6.144749346E0	2.840000000E2
6.184749346E0	2.900000000E2
6.224749346E0	2.890000000E2
6.264749346E0	2.870000000E2
6.304750346E0	2.860000000E2
6.344749346E0	2.900000000E2
6.464749346E0	2.890000000E2
6.584749346E0	2.870000000E2
6.664749346E0	2.880000000E2
6.744749346E0	2.900000000E2
6.784749346E0	2.870000000E2
6.864749346E0	2.900000000E2
6.904749346E0	2.890000000E2
6.984749346E0	2.870000000E2
7.024749346E0	2.890000000E2
7.064749346E0	2.900000000E2
7.104749346E0	2.890000000E2
7.144749346E0	2.860000000E2
7.184749346E0	2.890000000E2
7.264749346E0	2.900000000E2
7.304750346E0	2.870000000E2
7.344749346E0	2.880000000E2
7.384749346E0	2.860000000E2
7.424749346E0	2.890000000E2
7.464749346E0	2.900000000E2
7.544749346E0	2.820000000E2
7.584749346E0	2.880000000E2
7.624749346E0	2.890000000E2
7.664749346E0	2.870000000E2
7.704749346E0	2.900000000E2
7.744749346E0	2.880000000E2
7.784749346E0	2.900000000E2
7.824749346E0	2.880000000E2
7.904749346E0	2.900000000E2
7.944749346E0	2.860000000E2
