"Time (s)"	"Illuminance (lx)"
4.505515500E-2	1.800000000E1
6.705515500E-2	2.200000000E1
1.070551550E-1	1.800000000E1
1.470551550E-1	2.000000000E1
2.670551550E-1	2.100000000E1
3.070551550E-1	1.900000000E1
3.470551550E-1	2.200000000E1
4.270551550E-1	1.700000000E1
4.670551550E-1	1.900000000E1
5.070551550E-1	1.800000000E1
5.470551550E-1	2.000000000E1
5.870561550E-1	2.100000000E1
6.270551550E-1	1.800000000E1
7.470551550E-1	1.700000000E1
7.870551550E-1	1.800000000E1
8.270551550E-1	2.000000000E1
8.670551550E-1	1.900000000E1
9.470551550E-1	1.700000000E1
9.870551550E-1	2.000000000E1
1.027055155E0	1.900000000E1
1.067055155E0	2.000000000E1
1.147055155E0	2.200000000E1
1.187055155E0	1.800000000E1
1.267055155E0	2.100000000E1
1.307055155E0	2.000000000E1
1.347055155E0	2.200000000E1
1.387055155E0	1.900000000E1
1.427055155E0	1.800000000E1
1.467055155E0	2.000000000E1
1.547055155E0	1.800000000E1
1.587056155E0	1.500000000E1
1.627055155E0	1.900000000E1
1.707055155E0	1.800000000E1
1.787055155E0	2.000000000E1
1.907055155E0	1.700000000E1
1.947055155E0	1.900000000E1
2.027055155E0	2.100000000E1
2.067055155E0	2.000000000E1
2.107055155E0	1.800000000E1
2.147055155E0	2.100000000E1
2.187055155E0	2.000000000E1
2.227055155E0	1.800000000E1
2.267055155E0	2.000000000E1
2.387055155E0	2.000000000E1
2.427055155E0	2.100000000E1
2.467055155E0	2.000000000E1
2.507055155E0	1.900000000E1
2.547055155E0	2.200000000E1
2.587056155E0	2.100000000E1
2.627055155E0	1.900000000E1
2.707055155E0	2.000000000E1
2.747055155E0	1.900000000E1
2.787055155E0	2.000000000E1
2.907055155E0	2.100000000E1
2.947055155E0	2.000000000E1
3.027055155E0	1.900000000E1
3.067055155E0	2.000000000E1
3.107055155E0	2.200000000E1
3.147055155E0	2.000000000E1
3.185172191E0	2.200000000E1
3.225172191E0	2.000000000E1
3.265172191E0	2.100000000E1
3.305172191E0	2.000000000E1
3.385172191E0	1.900000000E1
3.425172191E0	1.700000000E1
3.465172191E0	1.800000000E1
3.505172191E0	2.100000000E1
3.545172191E0	2.000000000E1
3.585173191E0	2.100000000E1
3.625172191E0	1.700000000E1
3.665172191E0	1.900000000E1
3.705172191E0	2.200000000E1
3.745172191E0	1.900000000E1
3.825172191E0	2.000000000E1
3.905172191E0	1.900000000E1
3.985172191E0	1.800000000E1
4.025172191E0	2.100000000E1
4.065172191E0	1.700000000E1
4.105172191E0	2.100000000E1
4.145172191E0	1.600000000E1
4.185172191E0	2.000000000E1
4.305172191E0	1.700000000E1
4.345172191E0	2.200000000E1
4.385172191E0	2.100000000E1
4.465172191E0	1.800000000E1
4.505172191E0	2.300000000E1
4.545172191E0	2.100000000E1
4.585173191E0	1.900000000E1
4.625172191E0	2.000000000E1
4.665172191E0	1.900000000E1
4.705172191E0	2.100000000E1
4.745172191E0	1.900000000E1
4.785172191E0	2.000000000E1
4.825172191E0	1.900000000E1
4.865172191E0	2.000000000E1
4.905172191E0	1.900000000E1
4.945172191E0	2.000000000E1
5.025172191E0	1.700000000E1
5.065172191E0	2.000000000E1
5.105172191E0	1.900000000E1
5.145172191E0	1.800000000E1
5.225172191E0	2.200000000E1
5.265172191E0	1.900000000E1
5.305172191E0	1.700000000E1
5.345172191E0	1.900000000E1
5.385172191E0	2.000000000E1
5.465172191E0	2.100000000E1
5.585173191E0	1.800000000E1
5.625172191E0	2.000000000E1
5.745172191E0	2.000000000E1
5.785172191E0	1.900000000E1
5.825172191E0	2.000000000E1
5.865172191E0	2.200000000E1
5.905172191E0	2.000000000E1
5.945172191E0	1.800000000E1
5.985172191E0	2.000000000E1
6.025172191E0	1.700000000E1
6.065172191E0	2.100000000E1
6.145172191E0	1.900000000E1
6.185172191E0	1.800000000E1
6.225172191E0	2.100000000E1
6.265172191E0	2.200000000E1
6.305172191E0	1.800000000E1
6.345172191E0	1.600000000E1
6.385172191E0	1.800000000E1
6.425172191E0	2.000000000E1
6.465172191E0	1.800000000E1
6.505172191E0	2.200000000E1
6.625172191E0	2.000000000E1
6.665172191E0	1.800000000E1
6.705172191E0	2.000000000E1
6.745172191E0	1.800000000E1
6.865172191E0	2.200000000E1
6.905172191E0	2.000000000E1
6.945172191E0	1.800000000E1
6.985172191E0	2.100000000E1
7.025172191E0	2.000000000E1
7.065172191E0	2.100000000E1
7.145172191E0	1.800000000E1
7.185172191E0	1.900000000E1
7.305172191E0	1.600000000E1
7.345172191E0	2.000000000E1
7.385172191E0	1.900000000E1
7.425172191E0	1.800000000E1
7.505172191E0	2.000000000E1
7.585173191E0	2.100000000E1
7.625172191E0	1.800000000E1
7.705172191E0	2.000000000E1
7.785172191E0	1.800000000E1
7.825172191E0	2.000000000E1
7.865172191E0	1.900000000E1
7.905172191E0	1.800000000E1
7.945172191E0	2.000000000E1
7.985172191E0	2.100000000E1
8.065172191E0	1.800000000E1
8.105172191E0	2.000000000E1
8.145172191E0	1.700000000E1
8.185172191E0	2.000000000E1
8.225172191E0	1.800000000E1
8.305172191E0	2.000000000E1
8.385172191E0	1.900000000E1
8.425172191E0	2.200000000E1
8.465172191E0	2.100000000E1
8.505172191E0	2.000000000E1
8.545172191E0	2.100000000E1
8.585173191E0	1.900000000E1
8.625172191E0	2.000000000E1
8.665172191E0	1.800000000E1
8.705172191E0	1.900000000E1
8.745172191E0	1.800000000E1
8.785172191E0	1.700000000E1
8.825172191E0	1.900000000E1
8.865172191E0	1.600000000E1
8.905172191E0	2.200000000E1
8.985172191E0	1.900000000E1
9.025172191E0	2.200000000E1
9.065172191E0	2.100000000E1
9.105172191E0	2.000000000E1
9.145172191E0	1.700000000E1
9.185172191E0	1.900000000E1
9.265172191E0	2.000000000E1
9.305172191E0	1.900000000E1
9.345172191E0	2.000000000E1
9.465172191E0	2.000000000E1
9.505172191E0	1.900000000E1
9.545172191E0	1.800000000E1
9.625172191E0	1.900000000E1
9.665172191E0	2.100000000E1
9.785172191E0	2.000000000E1
9.865172191E0	1.800000000E1
9.905172191E0	2.000000000E1
9.945172191E0	1.800000000E1
9.985172191E0	2.100000000E1
1.002517219E1	1.900000000E1
1.006517219E1	2.000000000E1
1.010517219E1	1.800000000E1
1.014517219E1	1.700000000E1
1.018517219E1	1.900000000E1
1.022517219E1	2.000000000E1
1.030517219E1	1.700000000E1
1.034517219E1	1.800000000E1
