"Time (s)"	"Illuminance (lx)"
3.402831500E-2	3.560000000E2
9.602831500E-2	3.510000000E2
1.360283150E-1	3.540000000E2
1.760283150E-1	3.560000000E2
2.160283150E-1	3.550000000E2
2.560283150E-1	3.510000000E2
2.960283150E-1	3.560000000E2
3.760293150E-1	3.550000000E2
4.160283150E-1	3.510000000E2
4.560283150E-1	3.560000000E2
4.960283150E-1	3.550000000E2
5.360283150E-1	3.520000000E2
5.760283150E-1	3.540000000E2
6.560283150E-1	3.550000000E2
7.360283150E-1	3.520000000E2
7.760283150E-1	3.560000000E2
8.160283150E-1	3.530000000E2
8.560283150E-1	3.550000000E2
8.960283150E-1	3.530000000E2
9.360283150E-1	3.560000000E2
9.760283150E-1	3.550000000E2
1.016028315E0	3.580000000E2
1.056028315E0	3.530000000E2
1.096028315E0	3.540000000E2
1.136028315E0	3.550000000E2
1.176028315E0	3.560000000E2
1.216028315E0	3.530000000E2
1.296028315E0	3.560000000E2
1.416028315E0	3.540000000E2
1.456028315E0	3.520000000E2
1.496028315E0	3.540000000E2
1.576028315E0	3.520000000E2
1.616028315E0	3.560000000E2
1.656028315E0	3.570000000E2
1.696028315E0	3.550000000E2
1.736028315E0	3.560000000E2
1.776028315E0	3.520000000E2
1.856028315E0	3.550000000E2
1.896028315E0	3.560000000E2
1.976028315E0	3.540000000E2
2.016028315E0	3.530000000E2
2.096028315E0	3.540000000E2
2.136028315E0	3.550000000E2
2.176028315E0	3.530000000E2
2.216028315E0	3.550000000E2
2.256028315E0	3.530000000E2
2.336028315E0	3.550000000E2
2.376029315E0	3.560000000E2
2.416028315E0	3.550000000E2
2.456028315E0	3.530000000E2
2.496028315E0	3.520000000E2
2.536028315E0	3.570000000E2
2.576028315E0	3.560000000E2
2.656028315E0	3.530000000E2
2.695638498E0	3.550000000E2
2.735638498E0	3.530000000E2
2.775638498E0	3.560000000E2
2.815638498E0	3.540000000E2
2.855638498E0	3.550000000E2
2.895638498E0	3.540000000E2
2.975638498E0	3.510000000E2
3.015638498E0	3.520000000E2
3.055638498E0	3.540000000E2
3.095638498E0	3.570000000E2
3.135638498E0	3.560000000E2
3.175638498E0	3.530000000E2
3.215638498E0	3.550000000E2
3.295638498E0	3.540000000E2
3.335638498E0	3.550000000E2
3.375639498E0	3.570000000E2
3.415638498E0	3.530000000E2
3.455638498E0	3.550000000E2
3.495638498E0	3.530000000E2
3.535638498E0	3.540000000E2
3.575638498E0	3.550000000E2
3.615638498E0	3.580000000E2
3.655638498E0	3.550000000E2
3.735638498E0	3.560000000E2
3.775638498E0	3.520000000E2
3.815638498E0	3.550000000E2
3.895638498E0	3.520000000E2
3.935638498E0	3.560000000E2
3.975638498E0	3.550000000E2
4.055638498E0	3.530000000E2
4.095638498E0	3.560000000E2
4.215638498E0	3.550000000E2
4.255638498E0	3.560000000E2
4.295638498E0	3.550000000E2
4.335638498E0	3.560000000E2
4.375639498E0	3.550000000E2
4.455638498E0	3.560000000E2
4.495638498E0	3.520000000E2
4.535638498E0	3.550000000E2
4.575638498E0	3.560000000E2
4.655638498E0	3.550000000E2
4.695638498E0	3.540000000E2
4.735638498E0	3.560000000E2
4.775638498E0	3.550000000E2
4.815638498E0	3.530000000E2
4.895638498E0	3.550000000E2
4.935638498E0	3.530000000E2
4.975638498E0	3.560000000E2
5.015638498E0	3.550000000E2
5.135638498E0	3.550000000E2
5.175638498E0	3.560000000E2
5.215638498E0	3.530000000E2
5.295638498E0	3.560000000E2
5.375639498E0	3.520000000E2
5.415638498E0	3.540000000E2
5.495638498E0	3.570000000E2
5.535638498E0	3.550000000E2
5.615638498E0	3.520000000E2
5.655638498E0	3.580000000E2
5.695638498E0	3.570000000E2
5.735638498E0	3.560000000E2
5.775638498E0	3.550000000E2
5.815638498E0	3.510000000E2
5.855638498E0	3.560000000E2
5.895638498E0	3.550000000E2
5.935638498E0	3.560000000E2
5.975638498E0	3.530000000E2
6.055638498E0	3.560000000E2
6.135638498E0	3.550000000E2
6.175638498E0	3.530000000E2
6.215638498E0	3.540000000E2
6.255638498E0	3.550000000E2
6.295638498E0	3.560000000E2
6.335638498E0	3.550000000E2
6.415638498E0	3.580000000E2
6.455638498E0	3.550000000E2
6.495638498E0	3.560000000E2
6.535638498E0	3.520000000E2
6.575638498E0	3.560000000E2
6.655638498E0	3.550000000E2
6.695638498E0	3.530000000E2
6.735638498E0	3.550000000E2
6.775638498E0	3.570000000E2
6.815638498E0	3.540000000E2
6.855638498E0	3.550000000E2
6.935638498E0	3.580000000E2
6.975638498E0	3.540000000E2
7.015638498E0	3.560000000E2
7.055638498E0	3.530000000E2
7.095638498E0	3.550000000E2
7.215638498E0	3.520000000E2
7.255638498E0	3.580000000E2
7.295638498E0	3.530000000E2
7.335638498E0	3.570000000E2
7.375638498E0	3.550000000E2
7.415638498E0	3.520000000E2
7.455638498E0	3.560000000E2
7.495638498E0	3.580000000E2
7.535638498E0	3.570000000E2
7.575638498E0	3.530000000E2
7.615638498E0	3.560000000E2
7.695638498E0	3.520000000E2
7.775638498E0	3.560000000E2
7.815638498E0	3.530000000E2
7.855638498E0	3.550000000E2
7.935638498E0	3.490000000E2
7.975638498E0	3.560000000E2
8.015638498E0	3.570000000E2
8.095638498E0	3.560000000E2
8.175638498E0	3.530000000E2
8.215638498E0	3.540000000E2
8.255638498E0	3.560000000E2
8.295638498E0	3.530000000E2
8.335638498E0	3.540000000E2
8.455638498E0	3.560000000E2
8.535638498E0	3.570000000E2
8.575638498E0	3.530000000E2
8.615638498E0	3.550000000E2
8.695638498E0	3.560000000E2
8.735638498E0	3.510000000E2
8.775638498E0	3.550000000E2
8.815638498E0	3.560000000E2
8.855638498E0	3.550000000E2
8.895638498E0	3.530000000E2
8.935638498E0	3.560000000E2
8.975638498E0	3.580000000E2
9.015638498E0	3.550000000E2
9.095638498E0	3.540000000E2
9.135638498E0	3.560000000E2
9.175638498E0	3.550000000E2
9.215638498E0	3.530000000E2
9.255638498E0	3.550000000E2
9.335638498E0	3.560000000E2
9.375639498E0	3.540000000E2
9.415638498E0	3.520000000E2
9.455638498E0	3.550000000E2
9.575638498E0	3.550000000E2
9.615638498E0	3.560000000E2
9.655638498E0	3.540000000E2
9.695638498E0	3.570000000E2
9.735638498E0	3.530000000E2
9.775638498E0	3.550000000E2
9.815638498E0	3.540000000E2
9.895638498E0	3.500000000E2
9.935638498E0	3.520000000E2
9.975638498E0	3.550000000E2
1.005563850E1	3.560000000E2
1.009563850E1	3.520000000E2
1.013563850E1	3.570000000E2
1.017563850E1	3.540000000E2
1.025563850E1	3.530000000E2
1.029563850E1	3.550000000E2
1.033563850E1	3.570000000E2
1.037563950E1	3.550000000E2
1.045563850E1	3.530000000E2
1.049563850E1	3.560000000E2
1.053563850E1	3.550000000E2
1.061563850E1	3.560000000E2
1.065563850E1	3.550000000E2
1.069563850E1	3.530000000E2
1.077563850E1	3.550000000E2
1.081563850E1	3.520000000E2
