"Time (s)"	"Illuminance (lx)"
3.106124400E-2	2.100000000E1
9.306124400E-2	2.400000000E1
1.330612440E-1	2.000000000E1
1.730612440E-1	1.900000000E1
2.130612440E-1	2.200000000E1
2.530612440E-1	2.300000000E1
2.930622440E-1	2.200000000E1
3.330612440E-1	1.900000000E1
3.730612440E-1	2.200000000E1
4.130612440E-1	2.300000000E1
4.530612440E-1	1.900000000E1
4.930612440E-1	2.100000000E1
5.730612440E-1	2.300000000E1
6.130612440E-1	2.200000000E1
6.930612440E-1	2.300000000E1
7.330612440E-1	2.200000000E1
7.730612440E-1	2.000000000E1
8.130612440E-1	2.100000000E1
8.530612440E-1	2.200000000E1
9.330612440E-1	2.100000000E1
9.730612440E-1	2.200000000E1
1.013061244E0	2.300000000E1
1.053061244E0	2.200000000E1
1.093061244E0	2.100000000E1
1.133061244E0	2.200000000E1
1.213061244E0	2.100000000E1
1.253061244E0	1.900000000E1
1.293062244E0	2.100000000E1
1.373061244E0	1.900000000E1
1.413061244E0	2.200000000E1
1.533061244E0	2.100000000E1
1.573061244E0	2.300000000E1
1.613061244E0	2.400000000E1
1.653061244E0	2.200000000E1
1.693087244E0	2.100000000E1
1.733061244E0	2.200000000E1
1.773061244E0	2.300000000E1
1.813061244E0	2.000000000E1
1.853061244E0	2.100000000E1
1.893061244E0	2.200000000E1
1.973061244E0	2.300000000E1
2.013061244E0	2.100000000E1
2.133061244E0	2.000000000E1
2.173061244E0	2.200000000E1
2.253061244E0	2.000000000E1
2.293062244E0	2.300000000E1
2.333061244E0	2.400000000E1
2.373061244E0	2.100000000E1
2.413061244E0	2.000000000E1
2.493061244E0	2.100000000E1
2.613061244E0	2.200000000E1
2.693061244E0	2.300000000E1
2.733061244E0	2.200000000E1
2.773061244E0	2.000000000E1
2.813061244E0	2.100000000E1
2.853061244E0	2.300000000E1
2.893061244E0	2.000000000E1
2.933061244E0	2.300000000E1
2.973061244E0	2.100000000E1
3.010639615E0	2.300000000E1
3.090639615E0	1.700000000E1
3.130639615E0	2.100000000E1
3.170639615E0	2.300000000E1
3.210639615E0	2.100000000E1
3.290640615E0	2.200000000E1
3.330639615E0	2.300000000E1
3.370639615E0	2.200000000E1
3.410639615E0	2.100000000E1
3.450639615E0	2.000000000E1
3.490639615E0	2.200000000E1
3.530639615E0	2.300000000E1
3.570639615E0	2.100000000E1
3.610639615E0	1.900000000E1
3.650639615E0	2.000000000E1
3.730639615E0	2.100000000E1
3.770639615E0	2.300000000E1
3.810639615E0	2.200000000E1
3.890639615E0	2.300000000E1
3.930639615E0	2.200000000E1
4.010639615E0	2.000000000E1
4.050639615E0	2.100000000E1
4.090639615E0	2.200000000E1
4.130639615E0	2.400000000E1
4.170639615E0	2.200000000E1
4.210639615E0	2.100000000E1
4.250639615E0	2.300000000E1
4.290640615E0	2.200000000E1
4.330639615E0	1.600000000E1
4.370639615E0	1.900000000E1
4.410639615E0	2.200000000E1
4.530639615E0	2.100000000E1
4.570639615E0	2.000000000E1
4.610639615E0	2.400000000E1
4.650639615E0	2.200000000E1
4.690639615E0	2.100000000E1
4.730639615E0	2.200000000E1
4.850639615E0	2.000000000E1
4.890639615E0	2.200000000E1
4.930639615E0	2.100000000E1
4.970639615E0	2.300000000E1
5.010639615E0	1.800000000E1
5.050639615E0	2.200000000E1
5.090639615E0	2.000000000E1
5.130639615E0	2.200000000E1
5.170639615E0	2.000000000E1
5.210639615E0	2.200000000E1
5.250639615E0	2.300000000E1
5.290640615E0	1.900000000E1
5.330639615E0	2.200000000E1
5.370639615E0	2.300000000E1
5.410639615E0	2.000000000E1
5.450639615E0	1.900000000E1
5.490639615E0	2.300000000E1
5.530639615E0	2.200000000E1
5.570639615E0	2.100000000E1
5.610639615E0	1.900000000E1
5.650639615E0	2.200000000E1
5.730639615E0	1.800000000E1
5.770639615E0	2.100000000E1
5.810639615E0	2.300000000E1
5.890639615E0	1.800000000E1
5.930639615E0	2.200000000E1
5.970639615E0	2.300000000E1
6.010639615E0	2.100000000E1
6.050639615E0	2.000000000E1
6.090639615E0	2.200000000E1
6.130639615E0	2.300000000E1
6.170639615E0	2.100000000E1
6.250639615E0	2.000000000E1
6.290640615E0	2.200000000E1
6.330639615E0	2.000000000E1
6.370639615E0	2.200000000E1
6.410639615E0	2.300000000E1
6.450639615E0	2.100000000E1
6.490639615E0	2.200000000E1
6.610639615E0	2.200000000E1
6.690639615E0	2.300000000E1
6.730639615E0	2.200000000E1
6.770639615E0	2.000000000E1
6.810639615E0	2.100000000E1
6.850639615E0	2.300000000E1
6.890639615E0	2.200000000E1
6.930639615E0	2.100000000E1
6.970639615E0	2.000000000E1
7.010639615E0	2.300000000E1
7.050639615E0	2.200000000E1
7.170639615E0	2.200000000E1
7.290640615E0	1.900000000E1
7.330639615E0	2.200000000E1
7.370639615E0	2.300000000E1
7.410639615E0	2.000000000E1
7.450639615E0	2.100000000E1
7.490639615E0	2.300000000E1
7.530639615E0	2.200000000E1
7.570639615E0	1.900000000E1
7.610639615E0	2.100000000E1
7.690639615E0	2.200000000E1
7.770639615E0	1.900000000E1
7.810639615E0	2.200000000E1
7.850639615E0	2.100000000E1
7.930639615E0	2.200000000E1
7.970639615E0	1.800000000E1
8.010639615E0	2.300000000E1
8.050639615E0	2.000000000E1
8.130639615E0	2.400000000E1
8.170639615E0	2.300000000E1
8.210639615E0	2.100000000E1
8.290640615E0	2.200000000E1
8.330639615E0	2.300000000E1
8.370639615E0	2.200000000E1
8.410639615E0	1.700000000E1
8.450639615E0	2.000000000E1
8.490639615E0	2.200000000E1
8.530639615E0	1.900000000E1
8.570639615E0	2.200000000E1
8.610639615E0	2.300000000E1
8.650639615E0	2.200000000E1
8.690639615E0	2.100000000E1
8.730639615E0	2.000000000E1
8.770639615E0	2.200000000E1
8.810639615E0	2.300000000E1
8.850639615E0	2.200000000E1
8.890639615E0	2.100000000E1
8.930639615E0	2.200000000E1
8.970639615E0	2.000000000E1
9.010639615E0	2.200000000E1
9.050639615E0	2.000000000E1
9.090639615E0	2.200000000E1
9.210639615E0	2.100000000E1
9.290640615E0	2.200000000E1
9.330639615E0	2.100000000E1
9.370639615E0	2.000000000E1
9.490639615E0	2.200000000E1
9.530639615E0	2.000000000E1
9.650639615E0	2.100000000E1
9.770639615E0	2.300000000E1
9.810639615E0	2.100000000E1
9.850639615E0	2.000000000E1
9.890639615E0	2.200000000E1
9.930639615E0	2.300000000E1
9.970639615E0	2.200000000E1
1.001063962E1	2.100000000E1
