"Time (s)"	"Illuminance (lx)"
4.244855000E-2	5.350000000E2
8.444855000E-2	5.250000000E2
1.244485500E-1	5.230000000E2
1.644485500E-1	5.310000000E2
2.444485500E-1	5.230000000E2
2.844485500E-1	5.260000000E2
3.244495500E-1	5.310000000E2
3.644485500E-1	5.290000000E2
4.044485500E-1	5.260000000E2
4.444485500E-1	5.300000000E2
4.844485500E-1	5.310000000E2
5.244485500E-1	5.230000000E2
5.644485500E-1	5.280000000E2
6.044485500E-1	5.290000000E2
6.844485500E-1	5.260000000E2
7.644485500E-1	5.300000000E2
8.044485500E-1	5.260000000E2
8.444485500E-1	5.290000000E2
8.844485500E-1	5.300000000E2
9.244485500E-1	5.290000000E2
9.644485500E-1	5.260000000E2
1.004448550E0	5.280000000E2
1.084448550E0	5.270000000E2
1.164448550E0	5.290000000E2
1.244448550E0	5.250000000E2
1.284448550E0	5.260000000E2
1.324449550E0	5.290000000E2
1.404448550E0	5.250000000E2
1.444448550E0	5.290000000E2
1.484448550E0	5.310000000E2
1.524448550E0	5.290000000E2
1.564448550E0	5.250000000E2
1.604448550E0	5.310000000E2
1.644448550E0	5.290000000E2
1.724448550E0	5.260000000E2
1.764448550E0	5.270000000E2
1.804448550E0	5.290000000E2
1.924448550E0	5.270000000E2
1.964448550E0	5.260000000E2
2.004448550E0	5.240000000E2
2.044448550E0	5.260000000E2
2.084448550E0	5.270000000E2
2.124448550E0	5.290000000E2
2.164448550E0	5.280000000E2
2.284448550E0	5.270000000E2
2.324449550E0	5.280000000E2
2.364448550E0	5.290000000E2
2.404448550E0	5.260000000E2
2.444448550E0	5.240000000E2
2.484448550E0	5.280000000E2
2.524448550E0	5.300000000E2
2.604448550E0	5.260000000E2
2.644448550E0	5.240000000E2
2.684448550E0	5.250000000E2
2.723852269E0	5.280000000E2
2.763852269E0	5.260000000E2
2.803852269E0	5.220000000E2
2.843852269E0	5.240000000E2
2.883852269E0	5.260000000E2
2.923852269E0	5.280000000E2
2.963852269E0	5.250000000E2
3.003852269E0	5.230000000E2
3.043852269E0	5.280000000E2
3.123852269E0	5.250000000E2
3.163852269E0	5.270000000E2
3.203852269E0	5.280000000E2
3.243852269E0	5.300000000E2
3.323853269E0	5.290000000E2
3.363852269E0	5.300000000E2
3.403852269E0	5.270000000E2
3.443852269E0	5.280000000E2
3.483852269E0	5.290000000E2
3.603852269E0	5.280000000E2
3.643852269E0	5.290000000E2
3.683852269E0	5.250000000E2
3.723852269E0	5.270000000E2
3.763852269E0	5.280000000E2
3.803852269E0	5.300000000E2
3.843852269E0	5.250000000E2
3.883852269E0	5.300000000E2
3.923852269E0	5.310000000E2
3.963852269E0	5.290000000E2
4.003852269E0	5.260000000E2
4.043852269E0	5.300000000E2
4.083852269E0	5.280000000E2
4.203852269E0	5.330000000E2
4.243852269E0	5.290000000E2
4.323853269E0	5.260000000E2
4.363852269E0	5.290000000E2
4.403852269E0	5.280000000E2
4.443852269E0	5.270000000E2
4.483852269E0	5.260000000E2
4.523852269E0	5.250000000E2
4.563852269E0	5.300000000E2
4.603852269E0	5.290000000E2
4.643852269E0	5.270000000E2
4.683852269E0	5.280000000E2
4.723852269E0	5.290000000E2
4.763852269E0	5.280000000E2
4.803852269E0	5.290000000E2
4.843852269E0	5.280000000E2
4.883852269E0	5.270000000E2
4.963852269E0	5.260000000E2
5.003852269E0	5.270000000E2
5.043852269E0	5.280000000E2
5.083852269E0	5.290000000E2
5.163852269E0	5.300000000E2
5.203852269E0	5.260000000E2
5.243852269E0	5.280000000E2
5.283852269E0	5.270000000E2
5.323853269E0	5.280000000E2
5.363852269E0	5.290000000E2
5.403852269E0	5.270000000E2
5.443852269E0	5.260000000E2
5.483852269E0	5.280000000E2
5.523852269E0	5.290000000E2
5.563852269E0	5.300000000E2
5.603852269E0	5.250000000E2
5.643852269E0	5.280000000E2
5.723852269E0	5.290000000E2
5.763852269E0	5.260000000E2
5.803852269E0	5.280000000E2
5.843852269E0	5.290000000E2
5.883852269E0	5.300000000E2
5.923852269E0	5.260000000E2
5.963852269E0	5.270000000E2
6.003852269E0	5.280000000E2
6.043852269E0	5.290000000E2
6.083852269E0	5.300000000E2
6.123852269E0	5.260000000E2
6.163852269E0	5.280000000E2
6.203852269E0	5.290000000E2
6.283852269E0	5.270000000E2
6.323853269E0	5.290000000E2
6.363852269E0	5.310000000E2
6.403852269E0	5.280000000E2
6.443852269E0	5.270000000E2
6.483852269E0	5.290000000E2
6.563852269E0	5.260000000E2
6.603852269E0	5.280000000E2
6.643852269E0	5.260000000E2
6.683852269E0	5.280000000E2
6.723852269E0	5.310000000E2
6.763852269E0	5.270000000E2
6.843852269E0	5.300000000E2
6.923852269E0	5.280000000E2
6.963852269E0	5.290000000E2
7.003852269E0	5.280000000E2
7.123852269E0	5.280000000E2
7.163852269E0	5.290000000E2
7.203852269E0	5.270000000E2
7.243852269E0	5.260000000E2
7.283852269E0	5.280000000E2
7.323853269E0	5.290000000E2
7.363852269E0	5.300000000E2
7.403852269E0	5.290000000E2
7.443852269E0	5.280000000E2
7.563852269E0	5.270000000E2
7.603852269E0	5.260000000E2
7.643852269E0	5.280000000E2
7.683852269E0	5.290000000E2
7.763852269E0	5.280000000E2
7.843852269E0	5.290000000E2
7.883852269E0	5.270000000E2
7.923852269E0	5.300000000E2
7.963852269E0	5.280000000E2
8.003852269E0	5.270000000E2
8.043852269E0	5.290000000E2
8.083852269E0	5.260000000E2
8.123852269E0	5.290000000E2
8.163852269E0	5.300000000E2
8.243852269E0	5.280000000E2
8.323853269E0	5.300000000E2
8.363852269E0	5.290000000E2
8.403852269E0	5.300000000E2
8.443852269E0	5.260000000E2
8.483852269E0	5.280000000E2
8.523852269E0	5.320000000E2
8.563852269E0	5.280000000E2
8.603852269E0	5.260000000E2
8.643852269E0	5.280000000E2
8.683852269E0	5.290000000E2
8.723852269E0	5.320000000E2
8.763852269E0	5.270000000E2
8.843852269E0	5.290000000E2
8.883852269E0	5.260000000E2
8.923852269E0	5.270000000E2
8.963852269E0	5.290000000E2
9.003852269E0	5.280000000E2
9.043852269E0	5.260000000E2
9.083852269E0	5.280000000E2
9.123852269E0	5.240000000E2
9.163852269E0	5.290000000E2
9.203852269E0	5.300000000E2
9.243852269E0	5.290000000E2
9.283852269E0	5.250000000E2
9.323853269E0	5.300000000E2
9.363852269E0	5.310000000E2
9.443852269E0	5.300000000E2
9.483852269E0	5.280000000E2
9.523852269E0	5.290000000E2
9.563852269E0	5.300000000E2
9.603852269E0	5.310000000E2
9.643852269E0	5.280000000E2
9.683852269E0	5.290000000E2
9.763852269E0	5.270000000E2
9.803852269E0	5.290000000E2
9.843852269E0	5.260000000E2
9.883852269E0	5.280000000E2
9.923852269E0	5.290000000E2
9.963852269E0	5.300000000E2
1.000385227E1	5.260000000E2
1.004385227E1	5.290000000E2
1.012385227E1	5.310000000E2
1.016385227E1	5.270000000E2
1.020385227E1	5.290000000E2
1.028385227E1	5.300000000E2
1.032385327E1	5.280000000E2
1.036385227E1	5.270000000E2
1.040385227E1	5.290000000E2
1.048385227E1	5.250000000E2
