"Time (s)"	"Illuminance (lx)"
3.182446900E-2	6.900000000E1
5.382446900E-2	6.700000000E1
9.382446900E-2	6.800000000E1
1.338244690E-1	7.100000000E1
1.738244690E-1	7.000000000E1
2.138244690E-1	6.700000000E1
2.538244690E-1	6.800000000E1
3.738244690E-1	7.000000000E1
4.138244690E-1	6.700000000E1
4.538244690E-1	7.000000000E1
4.938244690E-1	6.900000000E1
5.738244690E-1	6.500000000E1
6.138244690E-1	6.800000000E1
6.538244690E-1	7.000000000E1
6.938244690E-1	6.800000000E1
8.138244690E-1	7.100000000E1
8.938254690E-1	6.900000000E1
9.338244690E-1	6.700000000E1
9.738244690E-1	6.900000000E1
1.013824469E0	6.800000000E1
1.053824469E0	6.900000000E1
1.093824469E0	7.000000000E1
1.133824469E0	6.500000000E1
1.173824469E0	6.900000000E1
1.213824469E0	7.200000000E1
1.253824469E0	6.900000000E1
1.293824469E0	6.500000000E1
1.333824469E0	7.000000000E1
1.373824469E0	7.200000000E1
1.413824469E0	6.900000000E1
1.453824469E0	7.000000000E1
1.493824469E0	6.900000000E1
1.533824469E0	6.700000000E1
1.573824469E0	6.900000000E1
1.613824469E0	6.800000000E1
1.653824469E0	6.700000000E1
1.693824469E0	7.100000000E1
1.733824469E0	6.900000000E1
1.773824469E0	7.100000000E1
1.813824469E0	6.600000000E1
1.853824469E0	7.200000000E1
1.893825469E0	7.100000000E1
1.973824469E0	6.700000000E1
2.093824469E0	7.100000000E1
2.173824469E0	7.000000000E1
2.213824469E0	6.900000000E1
2.253824469E0	7.200000000E1
2.293824469E0	6.900000000E1
2.333824469E0	6.800000000E1
2.413824469E0	6.600000000E1
2.453824469E0	6.800000000E1
2.493824469E0	7.100000000E1
2.533824469E0	6.900000000E1
2.573824469E0	7.000000000E1
2.653824469E0	6.700000000E1
2.693824469E0	7.100000000E1
2.733824469E0	6.600000000E1
2.773824469E0	6.800000000E1
2.811526499E0	7.200000000E1
2.851526499E0	6.900000000E1
2.891527499E0	6.700000000E1
2.931526499E0	6.800000000E1
2.971526499E0	7.000000000E1
3.011526499E0	7.200000000E1
3.051526499E0	6.700000000E1
3.091526499E0	6.900000000E1
3.131526499E0	7.100000000E1
3.211526499E0	6.800000000E1
3.251526499E0	6.900000000E1
3.291526499E0	7.200000000E1
3.331526499E0	7.100000000E1
3.411526499E0	6.700000000E1
3.451526499E0	7.200000000E1
3.491526499E0	6.800000000E1
3.531526499E0	7.100000000E1
3.571526499E0	6.400000000E1
3.611526499E0	7.200000000E1
3.651526499E0	7.000000000E1
3.691526499E0	7.100000000E1
3.811526499E0	7.200000000E1
3.851526499E0	6.900000000E1
3.891527499E0	7.100000000E1
3.931526499E0	6.800000000E1
3.971526499E0	6.900000000E1
4.011526499E0	6.800000000E1
4.051526499E0	7.000000000E1
4.091526499E0	6.700000000E1
4.131526499E0	6.900000000E1
4.171526499E0	6.800000000E1
4.211526499E0	7.100000000E1
4.291526499E0	6.800000000E1
4.331526499E0	6.900000000E1
4.371526499E0	7.100000000E1
4.451526499E0	7.000000000E1
4.491526499E0	6.800000000E1
4.531526499E0	6.900000000E1
4.571526499E0	6.800000000E1
4.611526499E0	7.200000000E1
4.651526499E0	6.900000000E1
4.771526499E0	7.100000000E1
4.811526499E0	6.900000000E1
4.851526499E0	6.800000000E1
4.891527499E0	6.900000000E1
4.931526499E0	7.000000000E1
4.971526499E0	6.900000000E1
5.011526499E0	7.000000000E1
5.051526499E0	7.200000000E1
5.091526499E0	7.100000000E1
5.131526499E0	6.900000000E1
5.211526499E0	7.100000000E1
5.251526499E0	7.200000000E1
5.291526499E0	6.800000000E1
5.331526499E0	6.600000000E1
5.371526499E0	6.900000000E1
5.411526499E0	7.100000000E1
5.451526499E0	6.900000000E1
5.491526499E0	7.100000000E1
5.571526499E0	6.900000000E1
5.611526499E0	7.000000000E1
5.691526499E0	6.600000000E1
5.731526499E0	6.700000000E1
5.771526499E0	7.100000000E1
5.851526499E0	7.200000000E1
5.891527499E0	6.700000000E1
5.931526499E0	7.200000000E1
5.971526499E0	7.100000000E1
6.011526499E0	7.200000000E1
6.051526499E0	6.900000000E1
6.091526499E0	7.100000000E1
6.131526499E0	7.200000000E1
6.211526499E0	6.800000000E1
6.251526499E0	6.700000000E1
6.291526499E0	7.100000000E1
6.331526499E0	7.000000000E1
6.371526499E0	6.900000000E1
6.411526499E0	6.800000000E1
6.451526499E0	6.600000000E1
6.491526499E0	7.100000000E1
6.531526499E0	7.000000000E1
6.571526499E0	6.700000000E1
6.611526499E0	6.900000000E1
6.651526499E0	7.200000000E1
6.691526499E0	7.000000000E1
6.731526499E0	6.800000000E1
6.771526499E0	7.100000000E1
6.811526499E0	7.000000000E1
6.851526499E0	7.200000000E1
6.891527499E0	7.000000000E1
6.931526499E0	6.900000000E1
6.971526499E0	7.200000000E1
7.011526499E0	7.000000000E1
7.051526499E0	6.800000000E1
7.091526499E0	7.000000000E1
7.211526499E0	6.800000000E1
7.251526499E0	6.400000000E1
7.291526499E0	6.800000000E1
7.331526499E0	7.000000000E1
7.371526499E0	6.900000000E1
7.411526499E0	7.000000000E1
7.451526499E0	6.700000000E1
7.491526499E0	7.000000000E1
7.571526499E0	6.800000000E1
7.651526499E0	7.200000000E1
7.731526499E0	6.900000000E1
7.771526499E0	6.800000000E1
7.851526499E0	6.700000000E1
7.891527499E0	7.100000000E1
7.971526499E0	6.500000000E1
8.011526499E0	7.200000000E1
8.051526499E0	7.100000000E1
8.091526499E0	7.000000000E1
8.131526499E0	6.500000000E1
8.171526499E0	7.100000000E1
8.291526499E0	6.600000000E1
8.331526499E0	7.200000000E1
8.371526499E0	7.300000000E1
8.411526499E0	6.800000000E1
8.451526499E0	6.900000000E1
8.491526499E0	7.200000000E1
8.531526499E0	7.100000000E1
8.571526499E0	6.800000000E1
8.611526499E0	6.500000000E1
8.651526499E0	6.900000000E1
8.771526499E0	6.800000000E1
8.811526499E0	7.200000000E1
8.851526499E0	7.100000000E1
8.891527499E0	6.900000000E1
8.931526499E0	6.700000000E1
8.971526499E0	7.100000000E1
9.011526499E0	6.800000000E1
9.051526499E0	6.900000000E1
9.091526499E0	6.600000000E1
9.131526499E0	7.200000000E1
9.171526499E0	7.000000000E1
9.211526499E0	7.200000000E1
9.251526499E0	7.000000000E1
9.291526499E0	7.200000000E1
9.371526499E0	6.900000000E1
9.411526499E0	6.800000000E1
9.451526499E0	7.000000000E1
9.491526499E0	6.900000000E1
9.531526499E0	6.800000000E1
9.571526499E0	7.200000000E1
9.611526499E0	7.100000000E1
9.651526499E0	6.900000000E1
9.691526499E0	6.800000000E1
9.731526499E0	7.100000000E1
9.771526499E0	6.900000000E1
9.811526499E0	6.800000000E1
9.851526499E0	6.600000000E1
9.891527499E0	7.000000000E1
9.931526499E0	7.100000000E1
9.971526499E0	7.200000000E1
1.001152650E1	6.800000000E1
1.005152650E1	7.100000000E1
1.013152650E1	6.800000000E1
1.017152650E1	7.100000000E1
1.029152650E1	6.800000000E1
1.033152650E1	7.000000000E1
1.037152650E1	7.100000000E1
1.045152650E1	6.700000000E1
1.049152650E1	7.000000000E1
1.053152650E1	7.100000000E1
1.061152650E1	7.000000000E1
1.065152650E1	7.100000000E1
1.069152650E1	7.200000000E1
1.077152650E1	6.800000000E1
1.081152650E1	6.700000000E1
1.085152650E1	7.100000000E1
1.089152750E1	6.900000000E1
1.093152650E1	6.600000000E1
1.097152650E1	6.800000000E1
1.101152650E1	7.100000000E1
