"Time (s)"	"Illuminance (lx)"
2.780670900E-2	6.210000000E2
6.980670900E-2	6.110000000E2
1.098077090E-1	6.090000000E2
1.498067090E-1	6.160000000E2
1.898067090E-1	6.150000000E2
2.298067090E-1	6.090000000E2
2.698067090E-1	6.070000000E2
3.098067090E-1	6.160000000E2
3.498067090E-1	6.130000000E2
3.898067090E-1	6.100000000E2
4.298067090E-1	6.130000000E2
4.698067090E-1	6.150000000E2
5.098067090E-1	6.130000000E2
5.498067090E-1	6.120000000E2
5.898067090E-1	6.160000000E2
6.298077090E-1	6.130000000E2
6.697797090E-1	6.120000000E2
7.098067090E-1	6.170000000E2
7.498067090E-1	6.140000000E2
7.898067090E-1	6.130000000E2
8.298067090E-1	6.100000000E2
8.698067090E-1	6.090000000E2
9.098067090E-1	6.130000000E2
1.029806709E0	6.080000000E2
1.069806709E0	6.110000000E2
1.109807709E0	6.130000000E2
1.149806709E0	6.150000000E2
1.189806709E0	6.120000000E2
1.229806709E0	6.130000000E2
1.269806709E0	6.120000000E2
1.309806709E0	6.100000000E2
1.349806709E0	6.090000000E2
1.389806709E0	6.120000000E2
1.469806709E0	6.090000000E2
1.509806709E0	6.100000000E2
1.549806709E0	6.110000000E2
1.589806709E0	6.140000000E2
1.629806709E0	6.080000000E2
1.669806709E0	6.100000000E2
1.709806709E0	6.120000000E2
1.789806709E0	6.090000000E2
1.829806709E0	6.150000000E2
1.869806709E0	6.110000000E2
1.909806709E0	6.130000000E2
1.949806709E0	6.080000000E2
1.989806709E0	6.100000000E2
2.069806709E0	6.110000000E2
2.109807709E0	6.080000000E2
2.149806709E0	6.100000000E2
2.269806709E0	6.100000000E2
2.309806709E0	6.080000000E2
2.349806709E0	6.090000000E2
2.389806709E0	6.100000000E2
2.469806709E0	6.080000000E2
2.509806709E0	6.100000000E2
2.589806709E0	6.130000000E2
2.629806709E0	6.100000000E2
2.709806709E0	6.120000000E2
2.789806709E0	6.100000000E2
2.829806709E0	6.090000000E2
2.869806709E0	6.120000000E2
2.909806709E0	6.080000000E2
2.949806709E0	6.090000000E2
2.989806709E0	6.130000000E2
3.029806709E0	6.090000000E2
3.069806709E0	6.100000000E2
3.109807709E0	6.110000000E2
3.149806709E0	6.090000000E2
3.189806709E0	6.080000000E2
3.229806709E0	6.100000000E2
3.269806709E0	6.110000000E2
3.309806709E0	6.070000000E2
3.349806709E0	6.090000000E2
3.389806709E0	6.100000000E2
3.429806709E0	6.080000000E2
3.469806709E0	6.090000000E2
3.509806709E0	6.120000000E2
3.549806709E0	6.090000000E2
3.669806709E0	6.100000000E2
3.749806709E0	6.090000000E2
3.789806709E0	6.100000000E2
3.829806709E0	6.110000000E2
3.869806709E0	6.090000000E2
3.909806709E0	6.080000000E2
3.949806709E0	6.120000000E2
3.989806709E0	6.090000000E2
4.069806709E0	6.080000000E2
4.109807709E0	6.110000000E2
