"Time (s)"	"Illuminance (lx)"
4.334230200E-2	3.930000000E2
6.534230200E-2	3.950000000E2
1.053423020E-1	3.960000000E2
1.453423020E-1	3.900000000E2
1.853423020E-1	3.940000000E2
2.253423020E-1	3.950000000E2
2.653433020E-1	3.920000000E2
3.053423020E-1	3.910000000E2
3.453423020E-1	3.950000000E2
4.253423020E-1	3.900000000E2
4.653423020E-1	3.930000000E2
5.053423020E-1	3.940000000E2
5.453423020E-1	3.950000000E2
5.853423020E-1	3.930000000E2
6.253423020E-1	3.950000000E2
7.053423020E-1	3.920000000E2
7.453423020E-1	3.940000000E2
7.853423020E-1	3.950000000E2
8.253423020E-1	3.910000000E2
8.653423020E-1	3.930000000E2
9.053423020E-1	3.910000000E2
9.453423020E-1	3.960000000E2
9.853423020E-1	3.950000000E2
1.025342302E0	3.910000000E2
1.065342302E0	3.950000000E2
1.105342302E0	3.940000000E2
1.145342302E0	3.950000000E2
1.185342302E0	3.920000000E2
1.225342302E0	3.910000000E2
1.265343302E0	3.940000000E2
1.305342302E0	3.950000000E2
1.345342302E0	3.940000000E2
1.385342302E0	3.930000000E2
1.425342302E0	3.910000000E2
1.465342302E0	3.950000000E2
1.505342302E0	3.940000000E2
1.545342302E0	3.900000000E2
1.585342302E0	3.910000000E2
1.625342302E0	3.920000000E2
1.705342302E0	3.930000000E2
1.745342302E0	3.910000000E2
1.785342302E0	3.950000000E2
1.825342302E0	3.940000000E2
1.865342302E0	3.930000000E2
1.905342302E0	3.900000000E2
1.945342302E0	3.940000000E2
1.985342302E0	3.930000000E2
2.065342302E0	3.920000000E2
2.145342302E0	3.950000000E2
2.225342302E0	3.940000000E2
2.345342302E0	3.950000000E2
2.425342302E0	3.910000000E2
2.465342302E0	3.920000000E2
2.505342302E0	3.930000000E2
2.545342302E0	3.950000000E2
2.585342302E0	3.940000000E2
2.625342302E0	3.930000000E2
2.665342302E0	3.950000000E2
2.741886038E0	3.940000000E2
2.781886038E0	3.950000000E2
2.821886038E0	3.920000000E2
2.861886038E0	3.910000000E2
2.901886038E0	3.930000000E2
2.941886038E0	3.950000000E2
2.981886038E0	3.960000000E2
3.021886038E0	3.920000000E2
3.061886038E0	3.910000000E2
3.101886038E0	3.950000000E2
3.221886038E0	3.900000000E2
3.261887038E0	3.960000000E2
3.341886038E0	3.950000000E2
3.381886038E0	3.960000000E2
3.421886038E0	3.910000000E2
3.461886038E0	3.940000000E2
3.501886038E0	3.930000000E2
3.541886038E0	3.940000000E2
3.581886038E0	3.910000000E2
3.621886038E0	3.940000000E2
3.661886038E0	3.950000000E2
3.781886038E0	3.930000000E2
3.821886038E0	3.940000000E2
3.861886038E0	3.930000000E2
3.901886038E0	3.920000000E2
3.941886038E0	3.910000000E2
3.981886038E0	3.950000000E2
4.101886038E0	3.880000000E2
4.141886038E0	3.940000000E2
4.181886038E0	3.930000000E2
4.221886038E0	3.940000000E2
4.261887038E0	3.930000000E2
4.301886038E0	3.920000000E2
4.341886038E0	3.950000000E2
4.421886038E0	3.900000000E2
4.461886038E0	3.930000000E2
4.501886038E0	3.950000000E2
4.581886038E0	3.930000000E2
4.661886038E0	3.940000000E2
4.701886038E0	3.930000000E2
4.741886038E0	3.940000000E2
4.781886038E0	3.910000000E2
4.821886038E0	3.950000000E2
4.861886038E0	3.960000000E2
4.901886038E0	3.950000000E2
4.981886038E0	3.920000000E2
5.021886038E0	3.950000000E2
5.101886038E0	3.930000000E2
5.141886038E0	3.920000000E2
5.181886038E0	3.960000000E2
5.221886038E0	3.920000000E2
5.261887038E0	3.940000000E2
5.301886038E0	3.950000000E2
5.341886038E0	3.920000000E2
5.381886038E0	3.950000000E2
5.461886038E0	3.930000000E2
5.501886038E0	3.920000000E2
5.541886038E0	3.940000000E2
5.621886038E0	3.920000000E2
5.661886038E0	3.900000000E2
5.701886038E0	3.940000000E2
5.741886038E0	3.930000000E2
5.781886038E0	3.950000000E2
5.821886038E0	3.960000000E2
5.861886038E0	3.950000000E2
5.901886038E0	3.940000000E2
5.981886038E0	3.950000000E2
6.021886038E0	3.920000000E2
6.101886038E0	3.930000000E2
6.141886038E0	3.940000000E2
6.181886038E0	3.900000000E2
6.221886038E0	3.950000000E2
6.301886038E0	3.940000000E2
6.341886038E0	3.930000000E2
6.381886038E0	3.910000000E2
6.421886038E0	3.970000000E2
6.461886038E0	3.940000000E2
6.501886038E0	3.950000000E2
6.541886038E0	3.930000000E2
6.581886038E0	3.950000000E2
6.621886038E0	3.960000000E2
6.661886038E0	3.910000000E2
6.701886038E0	3.930000000E2
6.741886038E0	3.950000000E2
6.781886038E0	3.930000000E2
6.821886038E0	3.950000000E2
6.861886038E0	3.940000000E2
6.901886038E0	3.930000000E2
6.941886038E0	3.910000000E2
6.981886038E0	3.930000000E2
7.021886038E0	3.940000000E2
7.061886038E0	3.950000000E2
7.101886038E0	3.960000000E2
7.141886038E0	3.930000000E2
7.221886038E0	3.960000000E2
7.261887038E0	3.950000000E2
7.301886038E0	3.910000000E2
7.341886038E0	3.950000000E2
7.381886038E0	3.930000000E2
7.501886038E0	3.930000000E2
7.541886038E0	3.960000000E2
7.581886038E0	3.940000000E2
7.621886038E0	3.930000000E2
7.661886038E0	3.940000000E2
7.701886038E0	3.950000000E2
7.741886038E0	3.920000000E2
7.781886038E0	3.930000000E2
7.821886038E0	3.960000000E2
7.861886038E0	3.930000000E2
7.941886038E0	3.920000000E2
7.981886038E0	3.930000000E2
8.021886038E0	3.950000000E2
8.061886038E0	3.930000000E2
8.101886038E0	3.920000000E2
8.141886038E0	3.940000000E2
8.181886038E0	3.950000000E2
8.221886038E0	3.940000000E2
8.261887038E0	3.950000000E2
8.301886038E0	3.930000000E2
8.341886038E0	3.950000000E2
8.421886038E0	3.960000000E2
8.461886038E0	3.950000000E2
8.501886038E0	3.940000000E2
8.541886038E0	3.910000000E2
8.621886038E0	3.940000000E2
8.661886038E0	3.930000000E2
8.701886038E0	3.950000000E2
8.741886038E0	3.930000000E2
8.781886038E0	3.960000000E2
8.861886038E0	3.930000000E2
8.901886038E0	3.940000000E2
8.941886038E0	3.950000000E2
9.021886038E0	3.940000000E2
9.061886038E0	3.910000000E2
9.101886038E0	3.930000000E2
9.141886038E0	3.940000000E2
9.181886038E0	3.930000000E2
9.221886038E0	3.900000000E2
9.261887038E0	3.940000000E2
9.301886038E0	3.950000000E2
9.381886038E0	3.940000000E2
9.421886038E0	3.930000000E2
9.461886038E0	3.940000000E2
9.501886038E0	3.950000000E2
9.541886038E0	3.910000000E2
9.581886038E0	3.900000000E2
9.621886038E0	3.960000000E2
9.661886038E0	3.930000000E2
9.701886038E0	3.960000000E2
9.741886038E0	3.940000000E2
9.781886038E0	3.950000000E2
9.861886038E0	3.910000000E2
9.941886038E0	3.920000000E2
9.981886038E0	3.960000000E2
1.002188604E1	3.940000000E2
1.006188604E1	3.930000000E2
1.010188604E1	3.910000000E2
1.014188604E1	3.960000000E2
1.018188604E1	3.950000000E2
1.022188604E1	3.930000000E2
1.026188704E1	3.940000000E2
1.038188604E1	3.930000000E2
1.042188604E1	3.920000000E2
1.046188604E1	3.940000000E2
1.050188604E1	3.950000000E2
1.054188604E1	3.920000000E2
1.062188604E1	3.910000000E2
1.066188604E1	3.930000000E2
1.070188604E1	3.910000000E2
1.074188604E1	3.960000000E2
1.086188604E1	3.940000000E2
1.090188604E1	3.930000000E2
1.094188604E1	3.970000000E2
1.098188604E1	3.960000000E2
1.102188604E1	3.930000000E2
1.106188604E1	3.920000000E2
1.110188604E1	3.960000000E2
1.114188604E1	3.950000000E2
1.118188604E1	3.910000000E2
