"Time (s)"	"Illuminance (lx)"
3.678688400E-2	3.860000000E2
5.878688400E-2	3.910000000E2
9.878688400E-2	3.930000000E2
1.387868840E-1	3.900000000E2
2.187868840E-1	3.910000000E2
2.587868840E-1	3.940000000E2
2.987868840E-1	3.880000000E2
3.387868840E-1	3.920000000E2
3.787868840E-1	3.910000000E2
4.587868840E-1	3.900000000E2
4.987868840E-1	3.920000000E2
5.787868840E-1	3.880000000E2
6.187868840E-1	3.920000000E2
7.387868840E-1	3.870000000E2
7.787868840E-1	3.930000000E2
8.187868840E-1	3.910000000E2
8.587868840E-1	3.890000000E2
9.387868840E-1	3.900000000E2
9.787868840E-1	3.930000000E2
1.018786884E0	3.910000000E2
1.058786884E0	3.900000000E2
1.098786884E0	3.920000000E2
1.138786884E0	3.910000000E2
1.178787884E0	3.930000000E2
1.218786884E0	3.900000000E2
1.298786884E0	3.910000000E2
1.378786884E0	3.920000000E2
1.418786884E0	3.910000000E2
1.458786884E0	3.880000000E2
1.498786884E0	3.930000000E2
1.578786884E0	3.860000000E2
1.618786884E0	3.900000000E2
1.658786884E0	3.910000000E2
1.698786884E0	3.920000000E2
1.738786884E0	3.910000000E2
1.778786884E0	3.920000000E2
1.858786884E0	3.900000000E2
1.898786884E0	3.880000000E2
1.938786884E0	3.910000000E2
2.018786884E0	3.900000000E2
2.058786884E0	3.880000000E2
2.098786884E0	3.910000000E2
2.138786884E0	3.920000000E2
2.218786884E0	3.900000000E2
2.258786884E0	3.920000000E2
2.338786884E0	3.870000000E2
2.378786884E0	3.890000000E2
2.418786884E0	3.900000000E2
2.458786884E0	3.930000000E2
2.538786884E0	3.910000000E2
2.578786884E0	3.920000000E2
2.618786884E0	3.910000000E2
2.658786884E0	3.900000000E2
2.696864576E0	3.860000000E2
2.736864576E0	3.910000000E2
2.776864576E0	3.900000000E2
2.816864576E0	3.880000000E2
2.856864576E0	3.930000000E2
2.896864576E0	3.910000000E2
2.936864576E0	3.930000000E2
2.976864576E0	3.900000000E2
3.016864576E0	3.910000000E2
3.096864576E0	3.900000000E2
3.136864576E0	3.880000000E2
3.176865576E0	3.920000000E2
3.216864576E0	3.900000000E2
3.256864576E0	3.920000000E2
3.296864576E0	3.900000000E2
3.336864576E0	3.910000000E2
3.376864576E0	3.920000000E2
3.416864576E0	3.900000000E2
3.456864576E0	3.910000000E2
3.496864576E0	3.900000000E2
3.576864576E0	3.930000000E2
3.616864576E0	3.900000000E2
3.656864576E0	3.920000000E2
3.696864576E0	3.900000000E2
3.736864576E0	3.890000000E2
3.776864576E0	3.900000000E2
3.816864576E0	3.910000000E2
3.896864576E0	3.900000000E2
3.936864576E0	3.910000000E2
3.976864576E0	3.900000000E2
4.016864576E0	3.910000000E2
4.056864576E0	3.920000000E2
4.096864576E0	3.890000000E2
4.136864576E0	3.910000000E2
4.176865576E0	3.900000000E2
4.216864576E0	3.910000000E2
4.296864576E0	3.920000000E2
4.336864576E0	3.910000000E2
4.376864576E0	3.920000000E2
4.416864576E0	3.930000000E2
4.456864576E0	3.920000000E2
4.496864576E0	3.910000000E2
4.616864576E0	3.910000000E2
4.656864576E0	3.880000000E2
4.696864576E0	3.900000000E2
4.736864576E0	3.890000000E2
4.776864576E0	3.910000000E2
4.856864576E0	3.890000000E2
4.896864576E0	3.910000000E2
4.936864576E0	3.930000000E2
4.976864576E0	3.880000000E2
5.016864576E0	3.890000000E2
5.056864576E0	3.910000000E2
5.096864576E0	3.920000000E2
